client,desc,combined,market
Interxion Deutschland GmbH,DUB3 Data Center ,Interxion Deutschland GmbH DUB3 Data Center ,Datacom / Mission Critical / Tech
Interxion Deutschland GmbH,FRA11 Phase 1 & 2 Cx,Interxion Deutschland GmbH FRA11 Phase 1 & 2 Cx,Datacom / Mission Critical / Tech
Interxion Deutschland GmbH,FRA12 Cx Services,Interxion Deutschland GmbH FRA12 Cx Services,Datacom / Mission Critical / Tech
Interxion Deutschland GmbH,Interxion FRA10 – Phase 3 and 4 – Cx Services ,Interxion Deutschland GmbH Interxion FRA10 – Phase 3 and 4 – Cx Services ,Datacom / Mission Critical / Tech
Interxion Deutschland GmbH,VIE 2.7.1 - Cx Services,Interxion Deutschland GmbH VIE 2.7.1 - Cx Services,Datacom / Mission Critical / Tech
Interxion Deutschland GmbH,Vienna,Interxion Deutschland GmbH Vienna,Datacom / Mission Critical / Tech
Interxion Deutschland GmbH,FRA10 Project – Cx Services,Interxion Deutschland GmbH FRA10 Project – Cx Services,Datacom / Mission Critical / Tech
Interxion Deutschland GmbH,"IX MRS1.3 Data Centre Project, Marseille - Cx Svcs","Interxion Deutschland GmbH IX MRS1.3 Data Centre Project, Marseille - Cx Svcs",Datacom / Mission Critical / Tech
Interxion Deutschland GmbH,"IX VIE2.6 Data Centre Project, Vienna - Cx Services","Interxion Deutschland GmbH IX VIE2.6 Data Centre Project, Vienna - Cx Services",Datacom / Mission Critical / Tech
I/O Anywhere,Morgan Stanley Chiller Plant Seasonal Re-Testing,I/O Anywhere Morgan Stanley Chiller Plant Seasonal Re-Testing,Datacom / Mission Critical / Tech
I/O Anywhere,Morgan Stanley Chiller Plant Seasonal Testing,I/O Anywhere Morgan Stanley Chiller Plant Seasonal Testing,Datacom / Mission Critical / Tech
"Jamestown, LP",Ponce City - Project Engineering Services - BAS Peer Review ,"Jamestown, LP Ponce City - Project Engineering Services - BAS Peer Review ",Commercial / Misc Facilities
"Jamestown, LP",Ponce City - Project Engineering Services - Owners Rep for Tenant Fitouts,"Jamestown, LP Ponce City - Project Engineering Services - Owners Rep for Tenant Fitouts",Commercial / Misc Facilities
"Jamestown, LP",Ponce City - Project Engineering Services - Tenant Lease Cost Estimates,"Jamestown, LP Ponce City - Project Engineering Services - Tenant Lease Cost Estimates",Commercial / Misc Facilities
JE Dunn,Lunch n Learn on Controls,JE Dunn Lunch n Learn on Controls,Datacom / Mission Critical / Tech
JE Dunn,QTS Metro BMS retrofit support,JE Dunn QTS Metro BMS retrofit support,Datacom / Mission Critical / Tech
Jerry L. Johnson & Assoc,Lunch n Learn on Controls,Jerry L. Johnson & Assoc Lunch n Learn on Controls,Datacom / Mission Critical / Tech
Jerry L. Johnson & Assoc,SEAL expansion,Jerry L. Johnson & Assoc SEAL expansion,Industrial / Controls / Energy
Jerry L. Johnson & Assoc,TBD,Jerry L. Johnson & Assoc TBD,Datacom / Mission Critical / Tech
Jerry L. Johnson & Assoc,Verizon CRAN,Jerry L. Johnson & Assoc Verizon CRAN,Datacom / Mission Critical / Tech
JLL,Empire State Building - Electrical Advisory Board Package Development,JLL Empire State Building - Electrical Advisory Board Package Development,Commercial / Misc Facilities
JLL,Empire State Building – Jockey Chiller Commissioning,JLL Empire State Building – Jockey Chiller Commissioning,Commercial / Misc Facilities
JLL,Empire State Building - Lobby AHU Cx,JLL Empire State Building - Lobby AHU Cx,Commercial / Misc Facilities
JLL,Empire State Building - Lower Level Switchgear Room HVAC Cx,JLL Empire State Building - Lower Level Switchgear Room HVAC Cx,Commercial / Misc Facilities
JLL,Empire State Building ATS Cx,JLL Empire State Building ATS Cx,Commercial / Misc Facilities
JLL,Empire State Building Condenser Water Flow Measurement,JLL Empire State Building Condenser Water Flow Measurement,Commercial / Misc Facilities
JLL,"Empire State Building Electrical Testing Services NY, NY","JLL Empire State Building Electrical Testing Services NY, NY",Commercial / Misc Facilities
JLL,Empire State Building Observatory Level UPS Cx,JLL Empire State Building Observatory Level UPS Cx,Commercial / Misc Facilities
"JMN Consulting Engineers, PLLC",Rocklin II Shed Relocation and Upgrade,"JMN Consulting Engineers, PLLC Rocklin II Shed Relocation and Upgrade",Datacom / Mission Critical / Tech
Jones Lang LaSalle Americas Inc,Empire State Building – BMS Automation Consulting Services,Jones Lang LaSalle Americas Inc Empire State Building – BMS Automation Consulting Services,Commercial / Misc Facilities
Jones Lang LaSalle Americas Inc,Empire State Building - Observatory Upgrade Project,Jones Lang LaSalle Americas Inc Empire State Building - Observatory Upgrade Project,Commercial / Misc Facilities
JP Morgan Chase,270 Park Avenue - Commissioning Scripts,JP Morgan Chase 270 Park Avenue - Commissioning Scripts,Datacom / Mission Critical / Tech
JP Morgan Chase,"Commissioning opp revival - Denver, CO & Orangeburg, NJ","JP Morgan Chase Commissioning opp revival - Denver, CO & Orangeburg, NJ",Datacom / Mission Critical / Tech
JP Morgan Chase,JP Morgan Chase – Sycamore Data Center Cx Qualifications Package,JP Morgan Chase JP Morgan Chase – Sycamore Data Center Cx Qualifications Package,Datacom / Mission Critical / Tech
JPA,Delta opportunity,JPA Delta opportunity,Infrastructure / Transp. / Utility Co.
JPA,Lunch n Learn on Controls,JPA Lunch n Learn on Controls,Datacom / Mission Critical / Tech
JP Morgan Chase,Project Sycamore Cx Services,JP Morgan Chase Project Sycamore Cx Services,Datacom / Mission Critical / Tech
Katonah Lewisboro School District,GUI Development,Katonah Lewisboro School District GUI Development,Education
Kelvion,TBD,Kelvion TBD,Datacom / Mission Critical / Tech
"Kingsbridge Associates, LLC",River Plaza Retail Building K1 Retro-Commissioning ,"Kingsbridge Associates, LLC River Plaza Retail Building K1 Retro-Commissioning ",Repeatable / Retail
LC Associates,River Bay Co-Op LL87 Retro Cx,LC Associates River Bay Co-Op LL87 Retro Cx,Lodging / Residential
Lenape Regional High School District,Lenape Regional High School District Energy Review and Verif.,Lenape Regional High School District Lenape Regional High School District Energy Review and Verif.,Education
Level 3,111 8th Street Phase 2 Electrical Upgrades Cx,Level 3 111 8th Street Phase 2 Electrical Upgrades Cx,Datacom / Mission Critical / Tech
Level 3,180 Peachtree Atlanta - Chiller Replacement Cx,Level 3 180 Peachtree Atlanta - Chiller Replacement Cx,Datacom / Mission Critical / Tech
Level 3,1850 Pearl St - Electrical Upgrade,Level 3 1850 Pearl St - Electrical Upgrade,Datacom / Mission Critical / Tech
Level 3,524 Van Buren Cx,Level 3 524 Van Buren Cx,Datacom / Mission Critical / Tech
Level 3,Ashburn Cx,Level 3 Ashburn Cx,Datacom / Mission Critical / Tech
Level 3,Cavendish VT Generator and ATS Design,Level 3 Cavendish VT Generator and ATS Design,Datacom / Mission Critical / Tech
Level 3,Cleveland Electrical Re-Cx,Level 3 Cleveland Electrical Re-Cx,Datacom / Mission Critical / Tech
Level 3,Cooling Assessment,Level 3 Cooling Assessment,Datacom / Mission Critical / Tech
Level 3,Critical Systems Retro-Cx,Level 3 Critical Systems Retro-Cx,Datacom / Mission Critical / Tech
Level 3,Electrical Infrastructure Cx,Level 3 Electrical Infrastructure Cx,Datacom / Mission Critical / Tech
Level 3,"Kansas City, MO HVAC System Heat Rejection Issues","Level 3 Kansas City, MO HVAC System Heat Rejection Issues",Datacom / Mission Critical / Tech
Level 3,Phase 2 Electrical Upgrades Cx,Level 3 Phase 2 Electrical Upgrades Cx,Datacom / Mission Critical / Tech
Lockheed Martin,IRS ESPC IDIQ,Lockheed Martin IRS ESPC IDIQ,Institutional / Gov Facilities
Logan Pass Construction,VZW Aurora DC Power Plant Expansion BAS,Logan Pass Construction VZW Aurora DC Power Plant Expansion BAS,Datacom / Mission Critical / Tech
Lower Cape May Regional School District,Third Party ECM Verification,Lower Cape May Regional School District Third Party ECM Verification,Datacom / Mission Critical / Tech
Macerich Company,Burlington Coat at Kings Plaza HVAC Cx,Macerich Company Burlington Coat at Kings Plaza HVAC Cx,Repeatable / Retail
Macgregor Associates Architects,Atlanta DC Client,Macgregor Associates Architects Atlanta DC Client,Datacom / Mission Critical / Tech
Madison Communications,Level 3 Structural Review & Design (Atlanta),Madison Communications Level 3 Structural Review & Design (Atlanta),Datacom / Mission Critical / Tech
Madison Electric,"Level 3 Tustin, CA Cx ","Madison Electric Level 3 Tustin, CA Cx ",Datacom / Mission Critical / Tech
Mann Mechanical,Crowne Plaza Exhaust Investigation,Mann Mechanical Crowne Plaza Exhaust Investigation,Lodging / Residential
Mark G. Anderson Consultants,HPCC Controls - Automation Consulting Services,Mark G. Anderson Consultants HPCC Controls - Automation Consulting Services,Datacom / Mission Critical / Tech
Mark G. Anderson Consultants,HPCC Controls - Turnkey BAS Services,Mark G. Anderson Consultants HPCC Controls - Turnkey BAS Services,Datacom / Mission Critical / Tech
McShane Realty Partners,McShane Realty - bEQ Assessment,McShane Realty Partners McShane Realty - bEQ Assessment,Commercial / Misc Facilities
Meadows & Ohly ,Medical Practice Building Addition ,Meadows & Ohly  Medical Practice Building Addition ,Healthcare
Microsoft,Design and Cx Expansion,Microsoft Design and Cx Expansion,Datacom / Mission Critical / Tech
Microsoft,Microsoft Qual Package,Microsoft Microsoft Qual Package,Datacom / Mission Critical / Tech
Middlesex County College,Middlesex CC Center for Student Services and Academic Science Building (South Hall) ,Middlesex County College Middlesex CC Center for Student Services and Academic Science Building (South Hall) ,Education
Mingledorffs,GBA lead sourcing,Mingledorffs GBA lead sourcing,Commercial / Misc Facilities
Morehouse College,Brazeal and Nabrit - HVAC Modifications,Morehouse College Brazeal and Nabrit - HVAC Modifications,Education
Morehouse College, Brazeal Hall - HVAC Assessment,Morehouse College  Brazeal Hall - HVAC Assessment,Education
Morehouse College,Brazeal design,Morehouse College Brazeal design,Education
Morehouse College,Nabrit design Phase 1,Morehouse College Nabrit design Phase 1,Education
Morehouse College,Nabrit design Phase 2,Morehouse College Nabrit design Phase 2,Education
Morehouse College,Nabrit Hall - HVAC Assessment,Morehouse College Nabrit Hall - HVAC Assessment,Education
Morgan Stanley,522 5th Avenue Retail Commissioning,Morgan Stanley 522 5th Avenue Retail Commissioning,Repeatable / Retail
Morgan Stanley,Piscataway and Somerset Data Center POD Cx,Morgan Stanley Piscataway and Somerset Data Center POD Cx,Datacom / Mission Critical / Tech
Next Tier HD,HPCC - Commissioning,Next Tier HD HPCC - Commissioning,Datacom / Mission Critical / Tech
Next Tier HD,HPCC Controls,Next Tier HD HPCC Controls,Datacom / Mission Critical / Tech
Next Tier HD,Tower Controls,Next Tier HD Tower Controls,Datacom / Mission Critical / Tech
Next Tier HD,BRIC - BAS Gap Analysis,Next Tier HD BRIC - BAS Gap Analysis,Commercial / Misc Facilities
State of NJ - Division of Property Management & Construction,Juvenile Justice Commission - Contract X0168-00 - Multidiscipline Engineering,State of NJ - Division of Property Management & Construction Juvenile Justice Commission - Contract X0168-00 - Multidiscipline Engineering,Institutional / Gov Facilities
NJ Institute of Technology ,NJIT New Wellness and Event Center Commissioning,NJ Institute of Technology  NJIT New Wellness and Event Center Commissioning,Education
NJDOT,DPMC - M&V,NJDOT DPMC - M&V,Institutional / Gov Facilities
NJSDA & Grayhawk Const.,Commissioning Authority for New Elizabeth Academic High School,NJSDA & Grayhawk Const. Commissioning Authority for New Elizabeth Academic High School,Education
NY State Insurance Fund,NY State Insurance Fund Commissioning Services,NY State Insurance Fund NY State Insurance Fund Commissioning Services,Commercial / Misc Facilities
NYCDDC,RFP - various Cx projects,NYCDDC RFP - various Cx projects,Institutional / Gov Facilities
NYCHA,NYCHA,NYCHA NYCHA,Commercial / Misc Facilities
NYSUCF,NY State University Construction Fund,NYSUCF NY State University Construction Fund,Commercial / Misc Facilities
Ocean County College,MCx Services,Ocean County College MCx Services,Education
Oglethorpe,Power IEQ Calcs,Oglethorpe Power IEQ Calcs,Education
Township of Old Bridge,Measurement & Verification for ECMs for Energy Audit ,Township of Old Bridge Measurement & Verification for ECMs for Energy Audit ,Institutional / Gov Facilities
Oracle,Data Centers - Location and time TBD,Oracle Data Centers - Location and time TBD,Datacom / Mission Critical / Tech
Orr Protection Services,TBD,Orr Protection Services TBD,Datacom / Mission Critical / Tech
Point Pleasant School District,Point Pleasant School District,Point Pleasant School District Point Pleasant School District,Education
PTS Consulting / Philadelphia Gas Works,Philadelphia Gas Works,PTS Consulting / Philadelphia Gas Works Philadelphia Gas Works,Infrastructure / Transp. / Utility Co.
Quality Technology Services,Ashburn VA - BMS Assessment (IAD2),Quality Technology Services Ashburn VA - BMS Assessment (IAD2),Datacom / Mission Critical / Tech
Quality Technology Services,Atlanta Metro - Greenfield Cx (Design & Pre-Construction),Quality Technology Services Atlanta Metro - Greenfield Cx (Design & Pre-Construction),Datacom / Mission Critical / Tech
Quality Technology Services,Atlanta Metro - Greenfield Design,Quality Technology Services Atlanta Metro - Greenfield Design,Datacom / Mission Critical / Tech
Quality Technology Services,Chicago - Design,Quality Technology Services Chicago - Design,Datacom / Mission Critical / Tech
Quality Technology Services,H3 Power Room Redesign,Quality Technology Services H3 Power Room Redesign,Datacom / Mission Critical / Tech
Quality Technology Services,Hillsboro DC,Quality Technology Services Hillsboro DC,Datacom / Mission Critical / Tech
Quality Technology Services,Hogan 3W Power Reclaim,Quality Technology Services Hogan 3W Power Reclaim,Datacom / Mission Critical / Tech
Quality Technology Services,Hydra 1E1 Design,Quality Technology Services Hydra 1E1 Design,Datacom / Mission Critical / Tech
Quality Technology Services,Metro - 1E Master Plan Design,Quality Technology Services Metro - 1E Master Plan Design,Datacom / Mission Critical / Tech
Quality Technology Services,Metro - Plant Analysis,Quality Technology Services Metro - Plant Analysis,Datacom / Mission Critical / Tech
Quality Technology Services,MIA BMS Assessment,Quality Technology Services MIA BMS Assessment,Datacom / Mission Critical / Tech
Quality Technology Services,MIA Risk Assessment,Quality Technology Services MIA Risk Assessment,Datacom / Mission Critical / Tech
Quality Technology Services,Miami BMS Design,Quality Technology Services Miami BMS Design,Datacom / Mission Critical / Tech
Quality Technology Services,"Piscataway, NJ - BMS Assessment","Quality Technology Services Piscataway, NJ - BMS Assessment",Datacom / Mission Critical / Tech
Quality Technology Services,"PJC BMS Assessment (E Windsor, NJ)","Quality Technology Services PJC BMS Assessment (E Windsor, NJ)",Datacom / Mission Critical / Tech
Quality Technology Services,"Princeton, NJ - BMS Assessment","Quality Technology Services Princeton, NJ - BMS Assessment",Datacom / Mission Critical / Tech
Quality Technology Services,"Project Acadia, Manassas, VA Cx","Quality Technology Services Project Acadia, Manassas, VA Cx",Datacom / Mission Critical / Tech
Quality Technology Services,Project Hogan - Chicago,Quality Technology Services Project Hogan - Chicago,Datacom / Mission Critical / Tech
Quality Technology Services,Project Joshua & DFW DC#3 Cx,Quality Technology Services Project Joshua & DFW DC#3 Cx,Datacom / Mission Critical / Tech
Quality Technology Services,Project Sunshine Cx,Quality Technology Services Project Sunshine Cx,Datacom / Mission Critical / Tech
Quality Technology Services,QBR meeting,Quality Technology Services QBR meeting,Datacom / Mission Critical / Tech
Quality Technology Services,QTS DFW1 – Controls Update,Quality Technology Services QTS DFW1 – Controls Update,Datacom / Mission Critical / Tech
Quality Technology Services,QTS Metro - 1E2 CFD,Quality Technology Services QTS Metro - 1E2 CFD,Datacom / Mission Critical / Tech
Quality Technology Services,QTS Metro - H Generator Expansion,Quality Technology Services QTS Metro - H Generator Expansion,Datacom / Mission Critical / Tech
Quality Technology Services,Richmond Central Plant Cx,Quality Technology Services Richmond Central Plant Cx,Datacom / Mission Critical / Tech
Quality Technology Services,"Sacramento, CA - BMS Assessment","Quality Technology Services Sacramento, CA - BMS Assessment",Datacom / Mission Critical / Tech
Quality Technology Services,Sunshine Chicago DC - Cx (Design / Pre-Construction),Quality Technology Services Sunshine Chicago DC - Cx (Design / Pre-Construction),Datacom / Mission Critical / Tech
Quality Technology Services,SUW BMS-Chiller Plant Remediation Cx,Quality Technology Services SUW BMS-Chiller Plant Remediation Cx,Datacom / Mission Critical / Tech
Quality Technology Services,SUW MBAS & Mechanical Hardening,Quality Technology Services SUW MBAS & Mechanical Hardening,Datacom / Mission Critical / Tech
Quality Technology Services,Suwanee - Greenfield Cx (Design & Pre-Construction),Quality Technology Services Suwanee - Greenfield Cx (Design & Pre-Construction),Datacom / Mission Critical / Tech
Quality Technology Services,Suwanee - Greenfield Design,Quality Technology Services Suwanee - Greenfield Design,Datacom / Mission Critical / Tech
Quality Technology Services,Suwanee BMS Retrofit Commissioning,Quality Technology Services Suwanee BMS Retrofit Commissioning,Datacom / Mission Critical / Tech
Quality Technology Services,QTS Metro - Chiller Evaluation,Quality Technology Services QTS Metro - Chiller Evaluation,Datacom / Mission Critical / Tech
Quest Controls,3rd Party Review of BMS System,Quest Controls 3rd Party Review of BMS System,Industrial / Controls / Energy
Quest Controls,"Alpharetta, GA - BAS Integration","Quest Controls Alpharetta, GA - BAS Integration",Datacom / Mission Critical / Tech
Quest Controls,"Chandler, AZ call center - BAS integration","Quest Controls Chandler, AZ call center - BAS integration",Datacom / Mission Critical / Tech
Quest Controls,"Hanover, MD - BAS Replacement","Quest Controls Hanover, MD - BAS Replacement",Datacom / Mission Critical / Tech
Quest Controls,JACE Integration - 50 Buildings,Quest Controls JACE Integration - 50 Buildings,Datacom / Mission Critical / Tech
Quest Controls,"Silver Springs, MD - BAS Integration","Quest Controls Silver Springs, MD - BAS Integration",Datacom / Mission Critical / Tech
Quest Controls,Verizon Colorado Springs Call Center - BAS integration,Quest Controls Verizon Colorado Springs Call Center - BAS integration,Datacom / Mission Critical / Tech
Quest Controls,Verizon Lake Mary Call Center - BAS integration,Quest Controls Verizon Lake Mary Call Center - BAS integration,Datacom / Mission Critical / Tech
Quest Controls,300 large building integration / energy program,Quest Controls 300 large building integration / energy program,Industrial / Controls / Energy
RagingWire,Ashburn Data Center Campus,RagingWire Ashburn Data Center Campus,Datacom / Mission Critical / Tech
RagingWire,RFP,RagingWire RFP,Datacom / Mission Critical / Tech
Ramapo College of New Jersey,Library Renovation and Learning Center Addition Commissioning Services,Ramapo College of New Jersey Library Renovation and Learning Center Addition Commissioning Services,Education
Randall-Paulson Architects,Atlanta Center for Reproductive Medicine  - ACRM,Randall-Paulson Architects Atlanta Center for Reproductive Medicine  - ACRM,Healthcare
Randall-Paulson Architects,"Forsyth Physician MOB 1 Imaging Center - Cumming, GA ","Randall-Paulson Architects Forsyth Physician MOB 1 Imaging Center - Cumming, GA ",Healthcare
Randall-Paulson Architects,Healthcare roadshow,Randall-Paulson Architects Healthcare roadshow,Healthcare
Randall-Paulson Architects,Northside Hospital,Randall-Paulson Architects Northside Hospital,Healthcare
Randall-Paulson Architects,Piedmont Rockdale Hospital Renovations - East Wing - Cardiology Suite,Randall-Paulson Architects Piedmont Rockdale Hospital Renovations - East Wing - Cardiology Suite,Healthcare
Randall-Paulson Architects,SGMC Women and Childrens Center - Energy Audit,Randall-Paulson Architects SGMC Women and Childrens Center - Energy Audit,Healthcare
Randall-Paulson Architects,SGMC Women and Childrens Center - MEP Services,Randall-Paulson Architects SGMC Women and Childrens Center - MEP Services,Healthcare
Randall-Paulson Architects,Wellstar - Barrett Medical Center Design,Randall-Paulson Architects Wellstar - Barrett Medical Center Design,Healthcare
Randall-Paulson Architects,Wellstar - Pulmonary Scoping Documents,Randall-Paulson Architects Wellstar - Pulmonary Scoping Documents,Healthcare
Randall-Paulson Architects,Wellstar - Spalding Hospital - MRI Replacement,Randall-Paulson Architects Wellstar - Spalding Hospital - MRI Replacement,Healthcare
Randall-Paulson Architects,Wellstar Cobb County Hospital - Dialysis and GI Scoping Docs ,Randall-Paulson Architects Wellstar Cobb County Hospital - Dialysis and GI Scoping Docs ,Healthcare
Randall-Paulson Architects,Wellstar Cobb County Hospital - RI unit scoping docs,Randall-Paulson Architects Wellstar Cobb County Hospital - RI unit scoping docs,Healthcare
Randall-Paulson Architects,Wellstar Cobb Hospital - Barrett Surgery Center Scoping Docs,Randall-Paulson Architects Wellstar Cobb Hospital - Barrett Surgery Center Scoping Docs,Healthcare
Randall-Paulson Architects,Wellstar GME Family Practice ,Randall-Paulson Architects Wellstar GME Family Practice ,Healthcare
Randall-Paulson Architects,Wellstar Health - International Tower - Cardiology Suite ,Randall-Paulson Architects Wellstar Health - International Tower - Cardiology Suite ,Healthcare
Randall-Paulson Architects,Wellstar WHS AMC MOB Tenant Relocation ,Randall-Paulson Architects Wellstar WHS AMC MOB Tenant Relocation ,Healthcare
RE Lamb,Cx Qualifications,RE Lamb Cx Qualifications,Datacom / Mission Critical / Tech
Richmond Federal Reserve Bank,UPS FRIT Replacement Cx,Richmond Federal Reserve Bank UPS FRIT Replacement Cx,Institutional / Gov Facilities
Rowan University,Retro-Cx Services for Rowan Hall HVAC System,Rowan University Retro-Cx Services for Rowan Hall HVAC System,Education
Rowan University,Robinson and Wilson Building ,Rowan University Robinson and Wilson Building ,Education
SABEY,Ashburn Building 3 Cx,SABEY Ashburn Building 3 Cx,Datacom / Mission Critical / Tech
SABEY,Ashburn Cx,SABEY Ashburn Cx,Datacom / Mission Critical / Tech
SABEY,Intergate Quincy Building B - Cx Services,SABEY Intergate Quincy Building B - Cx Services,Datacom / Mission Critical / Tech
SABEY,Pearl Street Data Center,SABEY Pearl Street Data Center,Datacom / Mission Critical / Tech
SABEY,Pearl Street Data Center,SABEY Pearl Street Data Center,Datacom / Mission Critical / Tech
SABEY,Sabey Construction – IGA-AC1,SABEY Sabey Construction – IGA-AC1,Datacom / Mission Critical / Tech
Safe Banking Systems LLC,Tenant Relocation - Design Build - Kennesaw,Safe Banking Systems LLC Tenant Relocation - Design Build - Kennesaw,Commercial / Misc Facilities
"Samson Controls, Inc.",PEER Review Engineering Services,"Samson Controls, Inc. PEER Review Engineering Services",Industrial / Controls / Energy
Selig Enterprises,"270 Carpenter Design / CA - Sandy Springs, GA","Selig Enterprises 270 Carpenter Design / CA - Sandy Springs, GA",Commercial / Misc Facilities
Selig Enterprises,270 Carpenter Drive,Selig Enterprises 270 Carpenter Drive,Commercial / Misc Facilities
Selig Enterprises,60 Peachtree Park - Operational Assessment,Selig Enterprises 60 Peachtree Park - Operational Assessment,Commercial / Misc Facilities
Selig Enterprises,75 Marietta – Design / Owner's Rep,Selig Enterprises 75 Marietta – Design / Owner's Rep,Commercial / Misc Facilities
Selig Enterprises,84 Walton - Fourth Floor Re-Design,Selig Enterprises 84 Walton - Fourth Floor Re-Design,Commercial / Misc Facilities
Selig Enterprises,84 Walton Fitness Center,Selig Enterprises 84 Walton Fitness Center,Cultural / Recreation / Sport
Selig Enterprises,ABBC Audit 75 Marietta Street,Selig Enterprises ABBC Audit 75 Marietta Street,Commercial / Misc Facilities
Selig Enterprises,Distech and other,Selig Enterprises Distech and other,Commercial / Misc Facilities
Selig Enterprises,Facilities Management Program,Selig Enterprises Facilities Management Program,Commercial / Misc Facilities
Selig Enterprises,GA Power Incentives Support,Selig Enterprises GA Power Incentives Support,Industrial / Controls / Energy
Selig Enterprises,HVAC Renovations - CM,Selig Enterprises HVAC Renovations - CM,Commercial / Misc Facilities
Selig Enterprises,"Trolley Barn HVAC Upgrades – Atlanta, GA","Selig Enterprises Trolley Barn HVAC Upgrades – Atlanta, GA",Cultural / Recreation / Sport
Selig Enterprises,Works at Chattahoochee,Selig Enterprises Works at Chattahoochee,Commercial / Misc Facilities
Sentinel,NJ1 Commissioning Services,Sentinel NJ1 Commissioning Services,Datacom / Mission Critical / Tech
Sentinel,Sentinel NJ-1 - DH 4.1 - Cx,Sentinel Sentinel NJ-1 - DH 4.1 - Cx,Datacom / Mission Critical / Tech
Sentinel,Ashburn – Cx Qualifications,Sentinel Ashburn – Cx Qualifications,Datacom / Mission Critical / Tech
Shorenstein Realty Services,BofA Building - Energy Star Verification (Sustainability Options),Shorenstein Realty Services BofA Building - Energy Star Verification (Sustainability Options),Commercial / Misc Facilities
Sigma Six Solutions,eBay DC Cx Expansion ,Sigma Six Solutions eBay DC Cx Expansion ,Datacom / Mission Critical / Tech
Sigma Six Solutions,eBay HV Substation Testing,Sigma Six Solutions eBay HV Substation Testing,Datacom / Mission Critical / Tech
Sigma Six Solutions,"eBay Phoenix, AZ Electrical Cx","Sigma Six Solutions eBay Phoenix, AZ Electrical Cx",Datacom / Mission Critical / Tech
Sigma Six Solutions,IKEA Bloom Energy ECx Support (fuel cells),Sigma Six Solutions IKEA Bloom Energy ECx Support (fuel cells),Infrastructure / Transp. / Utility Co.
Sluss + Padgett,KIA Plant VRF Swapout,Sluss + Padgett KIA Plant VRF Swapout,Industrial / Controls / Energy
Sluss + Padgett,Referral work / partnering on BIM/Revit,Sluss + Padgett Referral work / partnering on BIM/Revit,Datacom / Mission Critical / Tech
SNC- Lavalin Peru S.A.,Kelson 230 kV Substation Electrical Testing - Maryland,SNC- Lavalin Peru S.A. Kelson 230 kV Substation Electrical Testing - Maryland,Infrastructure / Transp. / Utility Co.
SNC- Lavalin Peru S.A.,Kelson Power Plant Electrical - Maryland,SNC- Lavalin Peru S.A. Kelson Power Plant Electrical - Maryland,Infrastructure / Transp. / Utility Co.
Spiezle Architectural Group,Spring Lake Borough - HW Mountz School AC,Spiezle Architectural Group Spring Lake Borough - HW Mountz School AC,Education
Spiezle Architectural Group,Brigantine BOE School Cx,Spiezle Architectural Group Brigantine BOE School Cx,Education
Spiezle Architectural Group,Stafford School District ECM Validation,Spiezle Architectural Group Stafford School District ECM Validation,Education
Spiezle Architectural Group,New Dayton Avenue Educational Campus Quals,Spiezle Architectural Group New Dayton Avenue Educational Campus Quals,Education
Spiezle Architectural Group,Spring Lake School Storage Building,Spiezle Architectural Group Spring Lake School Storage Building,Education
Spiezle Architectural Group,Bayhead Elementary School – Boiler Commissioning ,Spiezle Architectural Group Bayhead Elementary School – Boiler Commissioning ,Education
Spiezle Architectural Group,Bayhead Elementary School – Gymnasium Humidity Study,Spiezle Architectural Group Bayhead Elementary School – Gymnasium Humidity Study,Education
Spiezle Architectural Group,Hazlet High School Commissioning,Spiezle Architectural Group Hazlet High School Commissioning,Education
Spiezle Architectural Group,Middle Township Elementary School 1 Cx,Spiezle Architectural Group Middle Township Elementary School 1 Cx,Education
Spiezle Architectural Group,Spring Lake Heights Elementary School – MEP Survey Assessment and Design Services,Spiezle Architectural Group Spring Lake Heights Elementary School – MEP Survey Assessment and Design Services,Education
Spiezle Architectural Group,Barnegat School District HVAC Equipment Condition Survey,Spiezle Architectural Group Barnegat School District HVAC Equipment Condition Survey,Education
Spiezle Architectural Group,Day Care Center MEP Design ,Spiezle Architectural Group Day Care Center MEP Design ,Education
Spiezle Architectural Group,Lawrence Township POE – Professional A/E Services ,Spiezle Architectural Group Lawrence Township POE – Professional A/E Services ,Institutional / Gov Facilities
Spiezle Architectural Group,Sea Girt ES Condition Survey ,Spiezle Architectural Group Sea Girt ES Condition Survey ,Education
Spiezle Architectural Group,Eagleswood Elementary School - Additions & Renovation,Spiezle Architectural Group Eagleswood Elementary School - Additions & Renovation,Education
Spiezle Architectural Group,Hazlet BOE Sycamore Elementary School HVAC Cx,Spiezle Architectural Group Hazlet BOE Sycamore Elementary School HVAC Cx,Education
Spiezle Architectural Group,Hazlet Township BOE Multiple Schools HVAC Cx,Spiezle Architectural Group Hazlet Township BOE Multiple Schools HVAC Cx,Education
Spiezle Architectural Group,Island Heights Elementary School - Cx Proposal,Spiezle Architectural Group Island Heights Elementary School - Cx Proposal,Education
Spiezle Architectural Group,Manchester Township School District Cx Services,Spiezle Architectural Group Manchester Township School District Cx Services,Education
Spiezle Architectural Group,Piscataway HS Toilet Renovation - Peer Review,Spiezle Architectural Group Piscataway HS Toilet Renovation - Peer Review,Education
Spiezle Architectural Group,Raritan HS HVAC Cx,Spiezle Architectural Group Raritan HS HVAC Cx,Education
